0000001 002 ----------------------------------------------------
0000003 010 We                                          93 PPIS2
0000003 020 find                                        93 [VV0/100] NN1%/0
0000003 030 that                                        93 [CST/84] DD1/16 RG%/0
0000003 040 in                                          97 II
0000003 050 fact                                        97 NN1
0000003 060 these                                       93 DD2
0000003 070 people                                      93 NN
0000003 080 are                                         93 VBR
0000003 090 the                                         93 AT
0000003 100 most                                        97 RGT
0000003 110 exposed                                     97 JJ
0000003 120 to                                          93 [II/100] TO/0
0000003 130 media                                       93 NN
0000003 140 not                                         93 XX
0000003 150 to                                          93 [II/97] TO/3
0000003 160 mension                                     06 NN1
0000003 170 the                                         93 AT
0000003 180 fact                                        93 NN1
0000003 190 that                                        93 [CST/100] DD1/0 RG%/0
0000003 200 there                                       93 [EX/100] RL/0
0000003 210 is                                          93 VBZ
0000003 220 forever                                     93 RT
0000003 230 AIDS                                        93 [NN1/98] NN2@/2
0000003 240 awareness                                   03 NN1
0000003 250 campaigns                                   03 NN2
0000003 260 launged                                     06 [VVD/94] VVN@/6 JJ@/0
0000003 270 through                                     93 [RP@/95] II/5 JJ%/0
0000003 280 out                                         93 [RP/66] II%/34
0000003 290 the                                         93 AT
0000003 300 county                                      93 NN1
0000003 301 .                                           03 .
